sku,is_in_stock,new_qty,status
FURNI-L-BS-1D-WH,1,139,In Stock
FURNI-L-LED-TV01-BK,1,128,In Stock
FURNI-L-LED-TV01-WH,1,70,In Stock
FURNI-L-OTM01-OAK,1,87,In Stock
FURNI-L-SHOE-4D3R-WH-AB,false,0,Not Found in API Response
FURNI-L-TV120A-WH,1,195,In Stock
FURNI-N-BEN90-WD,1,81,In Stock
FURNI-N-MAXI-BS01-WD,1,171,In Stock
FURNI-N-MAXI-COF01-WD,1,43,In Stock
FURNI-O-BS-02-BK,1,90,In Stock
FURNI-O-BS-02-WH,1,69,In Stock
FURNI-O-LED-BS-01-BK,1,200,In Stock
FURNI-O-LED-BS-01-WH,1,135,In Stock
FURNI-O-LED-BS-02-BK,1,120,In Stock
FURNI-O-LED-BS-02-WH,1,191,In Stock
FURNI-O-LED-BS-3D-BK,1,200,In Stock
FURNI-O-LED-BS-3D-WH,false,0,Not Found in API Response
FURNI-O-SHOE-BEN01-WAL,1,82,In Stock
FURNI-O-SHOE-BEN01-WH,1,0,Quantity < 25, set to 0
FURNI-O-SHOE-BEN102-WAL,1,62,In Stock
FURNI-P-BSIDE-1D1S-WH,1,160,In Stock
FURNI-P-CAB-4D-WH,1,200,In Stock
FURNI-P-HS-3D1S-WH,1,133,In Stock
FURNI-P-LAD-COR5T-WH,1,147,In Stock
FURNI-P-SHOE-BEN2D-WH,1,101,In Stock
FURNI-P-SIDE60-WH,1,136,In Stock
FURNI-Q-BS-03-WD,1,158,In Stock
FURNI-Q-BS-03-WH,1,107,In Stock
FURNI-Q-BSHELF-01-WD,1,200,In Stock
FURNI-Q-BSHELF-02-WD,1,155,In Stock
FURNI-Q-BSHELF-03-WD,1,70,In Stock
FURNI-Q-BSHELF-05-WD,1,90,In Stock
FURNI-Q-DSHELF-01-BR,1,117,In Stock
FURNI-Q-SHOE-BEN01-WH,1,0,Quantity < 25, set to 0
FURNI-SHOE-21-BK-AB,1,75,In Stock
FURNI-SHOE-21-WD-AB,1,90,In Stock
FURNI-SHOE-21-WH-AB,1,116,In Stock
FURNI-SIDE-SHELF-WH,1,200,In Stock
FURNI-WALL-COR-WH,1,116,In Stock
FURNI-WALL-DISPLAY-WH,1,0,Quantity < 25, set to 0
FURNI-WALL-SHELF-WD,1,63,In Stock
FURNI-WALL-SHELF-WH,1,195,In Stock
HANGER-1938A-S-SI,1,200,In Stock
HANGER-1955A-D-SI,1,200,In Stock
HANGER-B-01-FLD-GY,1,0,Quantity < 25, set to 0
HANGER-C-01-BAM-WAL,1,58,In Stock
HANGER-SR6530-STD-BK,1,90,In Stock
LAMP-FLOOR-SF-1171-BK,1,53,In Stock
LAMP-FLOOR-SF-1171-SL,1,40,In Stock
LAMP-FLOOR-SF-3017-A-BK,1,200,In Stock
LAMP-FLOOR-SF-3017-B-BK,1,53,In Stock
LAMP-FLOOR-SF-3017-B-BR,1,156,In Stock
LAMP-FLOOR-SF-3017-C-WA,1,153,In Stock
LAMP-FLOOR-SF-31099,1,147,In Stock
LBH-DOU-SQ-GYWH,1,72,In Stock
LBH-FD-BW-2,1,136,In Stock
LBH-FD-BWG-3,1,32,In Stock
LBH-SIN-BAS-GY,1,76,In Stock
LC-FURNI-BEN01-WDWH,1,31,In Stock
LC-FURNI-COF03-WD,0,0,Quantity < 25, set to 0
LC-FURNI-SHOE01-WD,1,84,In Stock
